date,temp,hum,bright
2/13/2024 11:34:26 AM,17.7,62,4
2/13/2024 11:35:26 AM,17.9,62,4
2/13/2024 11:36:26 AM,18.1,61,4
2/13/2024 11:37:26 AM,18.2,61,4
2/13/2024 11:38:26 AM,18.3,61,4
2/13/2024 11:39:26 AM,18.4,61,4
2/13/2024 11:40:26 AM,18.5,60,4
2/13/2024 11:41:26 AM,18.5,60,4
2/13/2024 11:42:27 AM,18.6,60,4
2/13/2024 11:43:26 AM,18.6,60,4
2/13/2024 11:44:26 AM,18.7,60,4
2/13/2024 11:45:26 AM,18.7,60,4
2/13/2024 11:46:26 AM,18.7,60,4
2/13/2024 11:47:26 AM,18.7,60,4
2/13/2024 11:48:26 AM,18.7,60,4
2/13/2024 11:49:27 AM,18.8,60,4
2/13/2024 11:50:27 AM,18.8,60,4
2/13/2024 11:51:26 AM,18.8,60,4
2/13/2024 11:52:26 AM,18.8,59,4
2/13/2024 11:53:26 AM,18.9,59,5
2/13/2024 11:54:26 AM,18.8,59,5
2/13/2024 11:55:27 AM,18.9,59,5
2/13/2024 11:56:27 AM,18.9,59,4
2/13/2024 11:57:27 AM,18.9,59,5
2/13/2024 11:58:26 AM,18.9,59,5
2/13/2024 11:59:26 AM,18.9,59,5
2/13/2024 12:00:26 PM,18.9,59,5
2/13/2024 12:01:26 PM,19,59,5
2/13/2024 12:02:26 PM,18.9,59,5
2/13/2024 12:03:26 PM,19,59,5
2/13/2024 12:04:27 PM,18.9,59,5
2/13/2024 12:05:26 PM,19,59,5
2/13/2024 12:06:26 PM,19,59,5
2/13/2024 12:07:27 PM,19,59,5
2/13/2024 12:08:26 PM,19,59,5
2/13/2024 12:09:26 PM,19,59,5
2/13/2024 12:10:26 PM,19,59,5
2/13/2024 12:11:26 PM,19,59,5
2/13/2024 12:12:26 PM,19,59,5
2/13/2024 12:13:27 PM,19,59,5
2/13/2024 12:14:26 PM,19,59,5
2/13/2024 12:15:26 PM,19,59,5
2/13/2024 12:16:26 PM,19,59,5
2/13/2024 12:17:26 PM,19,59,5
2/13/2024 12:18:26 PM,19,59,5
2/13/2024 12:19:27 PM,19.1,59,5
2/13/2024 12:20:26 PM,19.1,59,5
2/13/2024 12:21:26 PM,19.1,59,5
2/13/2024 12:22:26 PM,19.1,58,5
2/13/2024 12:23:26 PM,19.1,59,5
2/13/2024 12:24:26 PM,19.1,58,5
2/13/2024 12:25:26 PM,19.1,58,5
2/13/2024 12:26:26 PM,19.1,58,5
2/13/2024 12:27:26 PM,19.1,58,5
2/13/2024 12:28:26 PM,19.1,58,5
2/13/2024 12:29:26 PM,19.1,58,5
2/13/2024 12:30:27 PM,19.1,58,5
2/13/2024 12:31:26 PM,19.1,58,5
2/13/2024 12:32:26 PM,19.2,58,5
2/13/2024 12:33:26 PM,19.2,58,5
2/13/2024 12:34:26 PM,19.2,58,5
2/13/2024 12:35:26 PM,19.2,58,5
2/13/2024 12:36:26 PM,19.2,58,5
2/13/2024 12:37:26 PM,19.2,58,5
2/13/2024 12:38:26 PM,19.2,58,5
2/13/2024 12:39:26 PM,19.2,58,5
2/13/2024 12:40:26 PM,19.2,58,5
2/13/2024 12:41:26 PM,19.2,58,5
2/13/2024 12:42:26 PM,19.2,58,5
2/13/2024 12:43:27 PM,19.3,58,5
2/13/2024 12:44:26 PM,19.3,58,5
2/13/2024 12:45:26 PM,19.3,58,5
2/13/2024 12:46:26 PM,19.3,58,5
2/13/2024 12:47:27 PM,19.3,58,5
2/13/2024 12:48:26 PM,19.3,58,5
2/13/2024 12:49:26 PM,19.3,58,5
2/13/2024 12:50:26 PM,19.3,58,5
2/13/2024 12:51:26 PM,19.3,58,5
2/13/2024 12:52:26 PM,19.3,58,5
2/13/2024 12:53:27 PM,19.3,58,5
2/13/2024 12:54:26 PM,19.3,58,5
2/13/2024 12:55:26 PM,19.4,58,5
2/13/2024 12:56:26 PM,19.4,58,5
2/13/2024 12:57:26 PM,19.4,58,5
2/13/2024 12:58:27 PM,19.4,58,5
2/13/2024 12:59:27 PM,19.4,58,5
2/13/2024 1:00:26 PM,19.4,58,5
